,posted,neighborhood,post title,number bedrooms,sqft,URL,price
71,2019-04-26 14:02, (inner richmond),Open House Sat Nice Studio top floor Rear of bldg  Water Garbage pd,,511ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-open-house-sat-nice/6872229376.html,2290
72,2019-04-26 14:02, (San Francisco),Under renovation- Top Floor and Pet ok!Rentals In SF,1br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-under-renovation-top/6875552915.html,3495
73,2019-04-26 14:01, (ingleside / SFSU / CCSF),Gorgeous 2 bedroom 2.5 bathroom w/ washer dryer,2br,1591ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-gorgeous-2-bedroom-25/6875552592.html,3951
74,2019-04-26 14:01, (lower nob hill),California Dreamin' spacious 1 BD w/ large patio! Rent Today!,1br,729ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-california-dreamin/6875552444.html,3388
75,2019-04-26 14:01, (downtown / civic / van ness),Rooftop Terrace | Loft Style | Close to Downtown | 277 Golden Gate,1br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-rooftop-terrace-loft/6875552090.html,2600
76,2019-04-26 14:01, (lower nob hill),Class and Sass on Bush Street - $0 Move-In Special,,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-class-and-sass-on-bush/6875551790.html,2495
77,2019-04-26 14:00, (russian hill),Junior Bedroom,1br,350ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-junior-bedroom/6864588783.html,1900
78,2019-04-26 14:00, (russian hill),Updated 2 BR Garden Apartment,2br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-updated-2-br-garden/6861457241.html,3150
79,2019-04-26 13:59, (hayes valley),Spacious 1 bd Open House Sat & Sun from 11:00-11:15am,1br,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-1-bd-open-house/6858756792.html,2950
80,2019-04-26 13:58, (USF / panhandle),Spacious Top Floor 3 BD | 2BA Flat. Please Call,3br,1200ft2,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-top-floor-3-bd/6875549755.html,5199
